Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_490,POINT (7506 12867),7506,12867,22.36196936076102,69.58635533638278,70.0,60.0,Passenger_ship,245
target_492,POINT (7273 12841),7273,12841,22.360368917372647,69.6090631869141,30.0,20.0,Fishing_Ship,246
target_495,POINT (7240 12931),7240,12931,22.351697280631925,69.6104677515531,80.0,80.0,Passenger_ship,247
target_498,POINT (10746 12862),10746,12862,22.41692517097742,69.27732346409643,70.0,160.0,Passenger_ship,248
target_499,POINT (10205 13138),10205,13138,22.383025544873334,69.32377809790114,20.0,30.0,Tugs_ship,249
target_500,POINT (8469 13155),8469,13155,22.352250587229555,69.48905355511637,20.0,40.0,Tugs_ship,250
target_506,POINT (12692 12878),12692,12878,22.447993353075624,69.09121121461489,40.0,50.0,Tugs_ship,251
target_509,POINT (11693 12989),11693,12989,22.421296025798465,69.18457252562067,130.0,40.0,Tugs_ship,252
target_510,POINT (11808 12998),11808,12998,22.422398755119534,69.17342664265887,30.0,40.0,Tugs_ship,253
target_511,POINT (11811 13051),11811,13051,22.417667691115398,69.1721584204227,130.0,160.0,Passenger_ship,254
target_513,POINT (18467 13039),18467,13039,22.52851936590388,68.536515090856,50.0,50.0,Tugs_ship,256
target_514,POINT (11973 13181),11973,13181,22.40863794631688,69.15428625886561,30.0,20.0,Fishing_Ship,257
target_515,POINT (10114 13215),10114,13215,22.37449677840234,69.33106326801429,10.0,40.0,Tugs_ship,258
target_516,POINT (10078 13624),10078,13624,22.33700038932857,69.32682812771067,120.0,140.0,Passenger_ship,259
target_517,POINT (8989 13209),8989,13209,22.356186625506787,69.43850529591377,30.0,30.0,Tugs_ship,260
target_518,POINT (8993 13215),8993,13215,22.35572117113997,69.43796391630299,40.0,50.0,Tugs_ship,261
target_519,POINT (8498 13345),8498,13345,22.335641168325033,69.48273791243783,100.0,70.0,Passenger_ship,262
target_520,POINT (8507 13350),8507,13350,22.33528829448215,69.48182429602221,50.0,60.0,Passenger_ship,263
target_521,POINT (8590 13387),8590,13387,22.333403527439927,69.47317793584868,100.0,70.0,Passenger_ship,264
target_522,POINT (8742 13415),8742,13415,22.33339622133613,69.45814961872595,240.0,180.0,Passenger_ship,265
target_524,POINT (12439 13250),12439,13250,22.410172838116573,69.1085274375278,170.0,60.0,Passenger_ship,266
target_525,POINT (12532 13313),12532,13313,22.406092021623245,69.09844759780636,20.0,30.0,Tugs_ship,267
target_526,POINT (12630 13467),12630,13467,22.393779365217128,69.0862871993926,90.0,100.0,Passenger_ship,268
target_527,POINT (11340 13330),11340,13330,22.384646788268647,69.2118921785387,60.0,60.0,Passenger_ship,269
target_528,POINT (11326 13344),11326,13344,22.38314133429709,69.21301603513473,70.0,80.0,Passenger_ship,270
target_531,POINT (11498 13481),11498,13481,22.37366731809865,69.19401565953538,80.0,100.0,Passenger_ship,271
target_534,POINT (12315 13224),12315,13224,22.410506901399547,69.12080600780818,40.0,50.0,Tugs_ship,272
target_535,POINT (19739 13368),19739,13368,22.51955461631184,68.40890585413706,260.0,110.0,Passenger_ship,273
target_537,POINT (11649 13699),11649,13699,22.356523238901357,69.17556687502692,160.0,80.0,Passenger_ship,275
target_539,POINT (10016 13748),10016,13748,22.324771551258703,69.33042998075547,40.0,40.0,Tugs_ship,276
target_540,POINT (10194 13996),10194,13996,22.305378779604286,69.30888304365368,30.0,40.0,Tugs_ship,277
target_542,POINT (13864 14066),13864,14066,22.36028642199264,68.95742675043115,20.0,50.0,Tugs_ship,278
target_545,POINT (10275 14237),10275,14237,22.285041861132694,69.29668087602813,50.0,70.0,Passenger_ship,279
target_546,POINT (10277 14244),10277,14244,22.284443929864807,69.29635984514519,70.0,50.0,Tugs_ship,280
target_548,POINT (13969 14408),13969,14408,22.331174005909567,68.94116418454784,50.0,70.0,Passenger_ship,281
target_549,POINT (13855 14083),13855,14083,22.358603882818905,68.95797287764809,20.0,70.0,Passenger_ship,282
target_550,POINT (20046 14098),20046,14098,22.458677175282656,68.36644872014524,130.0,100.0,Passenger_ship,283
